,experiment_5,experiment_6a
Experiment_Name,Actor Critic - Classical,Actor Critic - Quantum 5 Layers
N_Episodes,343,1036
Training_Time,154,11632
Training_Time_per_Episode,0.4489795918367347,11.227799227799228
Total_Reward,126601,335115
Efficiency,822.0844155844156,28.809748968363134
Mean_Reward,169.43,162.26
Median_Reward,271.5,223.0
Standard_Deviation,153.44,129.33
Skewness,-0.008274238169483646,0.18708335895010592
Kurtosis,-1.3033771031008115,-1.2299130479764337
"Quartiles(Q1,Q2,Q3)",[109.75 271.5  406.25],[124.25 223.   365.  ]
IQR,296.5,240.75
Confidence_Interval,"[164.29, 174.56]","[158.74, 165.78]"
SDOM,48.52,57.84
Coeff_of_Variation,90.56,79.71
