,Mean,Median,Std,Min,Max,25th Percentile,75th Percentile
Classical REINFORCE,230.74,219.55,40.37,181.48,317.89,196.78,252.12
Quantum REINFORCE(5 layer),222.27,228.07,66.33,111.17,309.74,174.88,283.61
Quantum REINFORCE(4 layer),219.13,212.5,42.15,151.16,316.1,199.88,222.45
Quantum REINFORCE(3 layer),190.9,197.16,44.93,117.7,266.89,150.93,220.64
Classical DQN,101.16,94.03,34.84,58.26,177.47,81.24,106.48
Quantum DQN(5 layer),147.6,140.49,47.71,73.41,263.82,128.67,160.65
Quantum DQN(4 layer),111.5,108.34,43.84,54.9,177.71,70.83,147.54
Quantum DQN(3 layer),123.26,112.83,37.76,60.12,183.36,100.22,154.3
Classical Actor Critic,173.59,169.43,30.34,116.16,231.69,157.65,182.55
Quantum Actor Critic(5 layer),162.19,156.72,26.26,122.81,198.02,150.21,183.19
Quantum Actor Critic(4 layer),165.18,169.08,24.01,134.42,201.89,144.03,176.48
Quantum Actor Critic(3 layer),204.74,206.71,27.85,166.56,249.58,186.88,213.99
